code,name,product_family,source_confidence,index_name_candidates,methodology_probe,source_url,next_action
306950,KODEX KRX300레버리지,fixed_income_cash_commodity_or_derivative,medium,KRX 300,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
229720,KODEX KTOP30,domestic_broad_market,low,KTOP 30,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
229200,KODEX 코스닥150,domestic_broad_market,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
233740,KODEX 코스닥150레버리지,fixed_income_cash_commodity_or_derivative,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
360150,KODEX 코스닥150롱코스피200숏선물,domestic_broad_market,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
251340,KODEX 코스닥150선물인버스,fixed_income_cash_commodity_or_derivative,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
461450,KODEX 코스닥글로벌,foreign_or_global,medium,KOSDAQ Global,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
226490,KODEX 코스피,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
237350,KODEX 코스피100,domestic_broad_market,medium,KOSPI 100,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
359210,KODEX 코스피TR,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
337140,KODEX 코스피대형주,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0163Y0,KoAct 코스닥액티브,domestic_broad_market,medium,KOSDAQ,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0193G0,KoAct 코스피액티브,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
438740,MIDAS 중소형액티브,domestic_broad_market,low,KOSPI Small Cap,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0191B0,MIDAS 코스닥액티브,domestic_broad_market,medium,KOSDAQ,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
