code,name,product_family,coverage_provider,provider_status,source_candidate,source_kind,confidence,next_action
183710,RISE 주식혼합,asset_allocation_or_tdf,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
310080,RISE 중국MSCI China(H),foreign_or_global,,,msci,methodology_provider,medium,build_msci_methodology_probe
463300,RISE 중국본토CSI300,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
174360,RISE 중국본토대형주CSI100,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
136340,RISE 중기우량회사채,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
281990,RISE 중소형고배당,domestic_broad_market,,,krx,methodology_provider,low,research_krx_sources
272570,RISE 중장기국공채액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0164G0,RISE 차이나AI반도체TOP4Plus,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
250730,RISE 차이나HSCEI(H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
291680,RISE 차이나H선물인버스(H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
371150,RISE 차이나항셍테크,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
498860,RISE 코리아금융고배당,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
495050,RISE 코리아밸류업,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0094M0,RISE 코리아밸류업위클리고정커버드콜,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0151P0,RISE 코리아전략산업액티브,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
270810,RISE 코스닥150,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
278240,RISE 코스닥150선물레버리지,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
275750,RISE 코스닥150선물인버스,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
302450,RISE 코스피,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
0047P0,RISE 테슬라고정테크100,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
449580,RISE 테슬라애플아마존채권혼합,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
334690,RISE 팔라듐선물(H),fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
334700,RISE 팔라듐선물인버스(H),fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0047R0,RISE 팔란티어고정테크100,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
253280,RISE 헬스케어,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
