code,name,is_domestic_sector,classification_reason,product_family,coverage_provider,provider_status,expansion_lane,next_action
211900,KODEX 코리아배당성장,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
237370,KODEX 코리아배당성장채권혼합,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
495850,KODEX 코리아밸류업,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
0115E0,KODEX 코리아소버린AI,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
373490,KODEX 코리아혁신성장액티브,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
229200,KODEX 코스닥150,False,broad_market,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
233740,KODEX 코스닥150레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
360150,KODEX 코스닥150롱코스피200숏선물,False,broad_market,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
251340,KODEX 코스닥150선물인버스,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
461450,KODEX 코스닥글로벌,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
226490,KODEX 코스피,False,no_sector_keyword,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
237350,KODEX 코스피100,False,no_sector_keyword,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
359210,KODEX 코스피TR,False,no_sector_keyword,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
337140,KODEX 코스피대형주,False,no_sector_keyword,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
138920,KODEX 콩선물(H),False,no_sector_keyword,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
244660,KODEX 퀄리티Plus,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
375770,KODEX 탄소효율그린뉴딜,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
459560,KODEX 테슬라밸류체인FactSet,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
475080,KODEX 테슬라커버드콜채권혼합액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
266410,KODEX 필수소비재,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
298770,KODEX 한국대만IT프리미어,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
476800,KODEX 한국부동산리츠인프라,False,no_sector_keyword,real_estate_or_infrastructure,,,future_product_family,classify_index_provider_after_family_selection
